title,vote_average,vote_count,release_date,runtime,budget,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,keywords,revenue
Halloween II,5.341,1265,2009-08-28,105.0,10000000.0,en,Halloween II,"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois. Meanwhile, Michael prepares for another reunion with his sister.",18.077,Family Is Forever,Horror,"Dimension Films, Spectacle Entertainment Group, Trancas International Films",United States of America,English,"nurse, therapist, loss of loved one, shotgun, insanity, pentagram, halloween, barn, rampage, purgatory, mental institution, hospital, slasher, murderer, white horse, duringcreditsstinger, holiday horror",39.421467
The Twilight Samurai,7.738,273,2002-11-02,129.0,5000000.0,ja,たそがれ清兵衛,"Seibei Iguchi leads a difficult life as a low ranking samurai at the turn of the nineteenth century. A widower with a meager income, Seibei struggles to take care of his two daughters and senile mother. New prospects seem to open up when the beautiful Tomoe, a childhood friend, comes back into he and his daughters' life, but as the Japanese feudal system unravels, Seibei is still bound by the code of honor of the samurai and by his own sense of social precedence. How can he find a way to do what is best for those he loves?",14.765,,"Drama, Romance, History","Shochiku, Sumitomo Corporation, Hakuhodo, Nippan Group Holdings, Eisei Gekijo, Nippon Television Network Corporation",Japan,Japanese,"daughter, samurai, based on novel or book, sword, mission of murder, teacher, sword fight, honor, period drama, historical, widower, jidaigeki, feudal japan, 19th century, factual, bushi, earnest, sincere",7.338987
Out of Africa,7.147,1252,1985-12-20,161.0,31000000.0,en,Out of Africa,"Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937.",17.812,Based on a true story.,"History, Romance, Drama","Universal Pictures, Mirage Entertainment, Mirage Enterprises",United States of America,"English, Swahili","farm, infidelity, africa, plantation, safari, nairobi, coffee grower, romance, kenya, based on memoir or autobiography, british colonial, syphilis, danish, historical drama, 1910s, big game hunter, cuckolded husband, plantation owner, lions, coffee beans, colonial africa",227.514205
Werewolves Within,6.054,437,2021-06-25,97.0,6500000.0,en,Werewolves Within,"When a proposed pipeline creates hostilities between residents of a small town, a newly-arrived forest ranger must keep the peace after a snowstorm confines the townspeople to an old lodge. But when a mysterious creature begins terrorizing the group, their worst tendencies and prejudices rise to the surface, and it is up to the ranger to keep the residents alive, both from each other and the monster which plagues them.",14.105,A whodunnit with teeth.,"Horror, Comedy","Vanishing Angle, Ubisoft Film & Television",United States of America,English,"hotel, isolation, transformation, snowstorm, forest ranger, murder, werewolf, power outage, based on video game, blizzard, lycanthrope, pipeline, whodunnit",0.93749
Percy Jackson: Sea of Monsters,6.028,4859,2013-08-07,106.0,90000000.0,en,Percy Jackson: Sea of Monsters,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",24.018,"Where There Are Gods, There Are Monsters.","Adventure, Family, Fantasy","Fox 2000 Pictures, Sunswept Entertainment, 1492 Pictures, TSG Entertainment",United States of America,English,"sea, monster, based on novel or book, poison, hermes, tale, poseidon, fantasy world, demigod, golden fleece, olympus, quest, kronos, based on young adult novel",199.850315
Downsizing,5.321,3474,2017-12-22,135.0,68000000.0,en,Downsizing,A kindly occupational therapist undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.,33.251,We are meant for something bigger.,"Drama, Science Fiction","Ad Hominem Enterprises, Annapurna Pictures, Paramount","United States of America, Norway","Norwegian, English, Spanish, Vietnamese, Icelandic","future, computer, therapist, married couple, shrinking, crowd, speculative, meditative, caucasian, thoughtful, reflective, pc, procedure, loving, inspirational, grand, provocative, direct, dramatic, sentimental, awestruck, bold, dignified, enchant, euphoric, exhilarated, hopeful, powerful, sympathetic",55.00389
Ring 0,6.131,221,2000-01-22,99.0,6000000.0,ja,リング０　バースデイ,"Taking place thirty years before the events of Ringu, Ringu 0 provides the shocking background story of how the girl on the video became a deadly, vengeful spirit.",12.645,Discover the secret...,"Horror, Thriller, Drama",Ring 0 Production Group,Japan,Japanese,"dying and death, journalist, theatre group, prequel, killer, wizard, parapsychology",11.918069
Herbie Fully Loaded,5.705,2121,2005-06-22,100.0,50000000.0,en,Herbie Fully Loaded,"Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor.",31.993,Start your engines...,"Comedy, Family, Adventure, Fantasy, Romance","Walt Disney Pictures, Robert Simonds Productions",United States of America,English,"car race, sports, victory, sequel, slapstick comedy, nascar, volkswagen beetle, smart car, woman director",144.146816
Unfaithful,6.637,1371,2002-05-10,124.0,50000000.0,en,Unfaithful,"Connie is a wife and mother whose 11-year marriage to Edward has lost its sexual spark. When Connie literally runs into handsome book collector Paul, he sweeps her into an all-consuming affair. But Edward soon becomes suspicious and decides to confront the other man.",23.714,Where do you go when you've gone too far?,"Thriller, Drama","Unfaithful Filmproduktion GmbH & Co. KG, Fox 2000 Pictures, Regency Enterprises, Epsilon Motion Pictures","Germany, Switzerland, United States of America","English, French","adultery, infidelity, new york city, literature, eroticism, lover, erotic thriller",119.137784
The Descendants,6.827,2550,2011-09-09,115.0,20000000.0,en,The Descendants,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron Matt King takes his daughters on a trip from Oahu to Kauai to confront a young real estate broker, who was having an affair with Elizabeth before her misfortune.",15.289,The South Pacific ain't that terrific.,"Comedy, Drama","Dune Entertainment, Fox Searchlight Pictures, Ad Hominem Enterprises",United States of America,English,"daughter, infidelity, hawaii, father-in-law, beach house, boating accident, estate, dying mother, teenage daughter, trustee, trust fund, wild girl, wild child, realtor",177.243185
Moon,7.57,5238,2009-06-12,97.0,5000000.0,en,Moon,"With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he wakens to find that he is not alone.",20.346,The last place you'd ever expect to find yourself.,"Science Fiction, Drama","Lunar Industries, Liberty Films, Xingu Films, Limelight Fund, Stage 6 Films, Sony Pictures Classics, Independent","United Kingdom, United States of America","Spanish, English","future, moon, artificial intelligence (a.i.), isolation, clone, dystopia, space, cloning, moon base, two-hander",9.760104
Brazil,7.673,3026,1985-02-20,143.0,15000000.0,en,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",21.313,It's only a state of mind.,"Comedy, Science Fiction",Embassy International Pictures,"United Kingdom, United States of America",English,"dream, government, bureaucracy, police state, great britain, technology, dystopia, office, dark comedy, satire, surrealism, steampunk, terrorism, bombing, job promotion, repairman, christmas",9.9
Battle in Seattle,6.35,214,2007-09-07,99.0,8000000.0,en,Battle in Seattle,"Thousands of activists arrive in Seattle, Washington in masses to protest the WTO Ministerial Conference of 1999 (World Trade Organization). Although it began as a peaceful protest with a goal of stopping the WTO talks, it escalated into a full-scale riot and eventually, a State of Emergency that pitted protesters against the Seattle Police Department and the National Guard.",9.868,"Six lives, six battles, one city.","Action, Drama","Insight Film Studios, Redwood Palms Pictures, Remstar Productions",United States of America,English,"seattle, washington, protest, based on true story, world trade organisation, 1990s",0.908847
The Fourth Kind,6.302,1571,2009-11-06,98.0,10000000.0,en,The Fourth Kind,"Since the 1960s, a disproportionate number of the population in and around Nome, Alaska, have gone missing. Despite FBI investigations, the disappearances remain a mystery. Dr. Abigail Tyler, a psychologist, may be on the verge of blowing the unsolved cases wide open when, during the course of treating her patients, she finds evidence of alien abductions.",22.56,There are four kinds of alien encounters. The fourth kind is abduction.,"Mystery, Science Fiction, Thriller","Universal Pictures, Gold Circle Films, Chambara Pictures, Dead Crow Productions, Saga Film, Mandate International","Belgium, United States of America",English,"sibling relationship, investigation, wheelchair, hypnosis, based on true story, cover-up, ufo, alaska, disappearance, hospital, alien abduction, patient, psychotherapy, fake documentary, found footage, nome alaska, faked footage, audio cassette, anchorage alaska, police fake, duringcreditsstinger",47.709193
Bound by Honor,8.114,1145,1993-02-05,190.0,35000000.0,en,Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.",47.959,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,"Crime, Action, Drama, Thriller",Hollywood Pictures,United States of America,English,"street gang, ghetto, juvenile prison, artist, jail, east los angeles, youth gang, hood, gang, racism, drugs, mexican american, barrio, police shootout, cholo, lowrider",4.496583
Ella Enchanted,6.442,1699,2004-04-09,96.0,31000000.0,en,Ella Enchanted,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",24.654,Get enchanted,"Family, Fantasy, Comedy","World 2000 Entertainment, Enchanted Productions","Ireland, United Kingdom",English,"based on novel or book, elves, magic, fairy tale, fairy, prince, fantasy world, giant, ogre, obedience, fairy godmother",27.388767
Napoleon Dynamite,6.772,1673,2004-06-11,95.0,400000.0,en,Napoleon Dynamite,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",17.367,He's out to prove he's got nothing to prove.,Comedy,"MTV Films, Access Films, Napoleon Pictures Limited, Fox Searchlight Pictures, Paramount",United States of America,English,"underdog, high school, sibling relationship, idaho, chat, school dance, social outcast, aftercreditsstinger",46.118097
Rabbit Hole,6.68,540,2010-12-16,91.0,5000000.0,en,Rabbit Hole,Life for a happy couple is turned upside down after their young son dies in an accident.,14.026,The only way out is through.,Drama,"Olympus Pictures, OddLot Entertainment, Blossom Films",United States of America,English,"loss of loved one, support group, trauma, marriage, based on play or musical, grief, memory, crying, parking lot, therapy, car seat, death of a child",5.144717
Brick Mansions,5.9,1434,2014-04-22,90.0,28000000.0,en,Brick Mansions,"In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it.",22.581,Their streets. Their rules.,"Action, Crime, Drama","EuropaCorp, Transfilm International, Relativity Media, Brick Mansions Productions","Canada, France, United States of America",English,"martial arts, atomic bomb, gangster, dystopia, ghetto, parkour, cop, sequel, undercover cop, fighting, detroit, michigan, hand to hand combat",71.41673
"Black Mama, White Mama",5.377,73,1973-01-19,87.0,200000.0,en,"Black Mama, White Mama","When two troublemaking female prisoners (one a revolutionary, the other a former harem-girl) can't seem to get along, they are chained together and extradited for safekeeping. The women, still chained together, stumble, stab, and cat-fight their way across the wilderness, igniting a bloody shootout between gangsters and a group of revolutionaries.",7.945,Chicks in Chains - where they come from this is... Fun!,"Action, Crime, Thriller","Four Associates Ltd, American International Pictures","Philippines, United States of America",English,"sexual abuse, women's prison, prison escape, jungle, racial tension, lesbian",1.0
Clash of the Wolves,6.1,12,1925-11-17,74.0,89000.0,en,Clash of the Wolves,"A fire in the mountains drives a wolf pack into the nearby desert where they terrorize the local residents. The leader of the wolf pack is Lobo, actually a halfbreed (Rin Tin Tin). When the pack is discovered hunting a herd of cows, a posse gives chase. Lobo leaves his pack to lead the posse away. He is injured and found by a local prospector, Dave Weston (Charles Farrell). The prospector nurses Lobo back to health and the two become close friends. Meanwhile, Weston has made a Borax find in the area. His girlfriend May Barstowe (June Marlowe), daughter of a wealthy rancher, is pleased. However, the local chemist, Borax Horton (Pat Hartigan), actually a claim jumper, plans to steal the claim.",1.127,,"Western, Adventure, Romance",Warner Bros. Pictures,United States of America,No Language,"german shepherd, claim jumper, wolf pack, rin tin tin, wolves",0.27
Harry and Tonto,7.0,71,1974-08-12,115.0,980000.0,en,Harry and Tonto,"Harry is a retired teacher in his 70s living in the Upper West Side of New York City where his late wife and he raised his children--where he's lived all his life. When the building he lives in is torn down to make way for a parking garage, Harry and his beloved cat Tonto begin a journey across the United States, visiting his children, seeing a world he never seemed to have the time to see before, making new friends, and saying goodbye to old friends.",6.426,Get a lift.,"Comedy, Drama, Adventure",20th Century Fox,United States of America,English,"cat, nostalgia, aging, road trip, family, eviction",4.6
Star of Midnight,6.4,17,1935-04-19,90.0,280000.0,en,Star of Midnight,"When a dancer disappears from a theater,  Clay Dalzell is asked to investigate, leading him on a trail of murder and deception.",2.625,"The titian-haired star of ""Gay Divorcee"" and ""Roberta"" joins hands with the master of all screen sleuths in a sparkling, mystery drama breathless with thrills...","Comedy, Mystery, Romance",RKO Radio Pictures,United States of America,English,dancer,0.831
Sorry to Bother You,6.833,1393,2018-07-06,112.0,3200000.0,en,Sorry to Bother You,"In an alternate present-day version of Oakland, black telemarketer Cassius Green discovers a magical key to professional success – which propels him into a macabre universe.",13.634,Destiny Is Calling,"Fantasy, Science Fiction, Comedy","Cinereach, Significant Productions, MACRO, MNM Creative, The Space Program",United States of America,English,"slavery, satire, surrealism, oakland, california, poverty, telemarketer, telemarketing, human animal hybrid, corporate conspiracy, race relations, modern slavery",18.2
To Save a Life,6.208,53,2009-11-05,120.0,500000.0,en,To Save a Life,"Jake Taylor has everything. He has a beautiful girl, he's the champion in basketball and beer pong, and everyone loves him. Then, an old childhood friend of his commits suicide. Jake wonders what he could've done to save his friend's life. A youth minister tells him that Jake needs God. So Jake becomes a Christian. However, things begin to spin out of control. Jake is going to realize just what it means to be a Christian and how, to save a life.",4.599,Some people are just dying to be heard.,Drama,"New Song Pictures, Outreach Films, Accelerated Entertainment",United States of America,English,"school shooting, christian film",3.824868
Last Vegas,6.402,1995,2013-10-31,105.0,28000000.0,en,Last Vegas,"Aging pals Billy, Paddy, Archie, and Sam have been best friends since childhood. When Billy finally proposes to his much-younger girlfriend, all four friends go to Las Vegas to celebrate the end of Billy's longtime bachelorhood and relive their glory days. However, the four quickly realize that the intervening decades have changed Sin City and tested their friendship in ways they had not imagined.",20.121,It's going to be legendary,Comedy,"Gidden Media, CBS Films, Good Universe, Laurence Mark Productions, Outlaw Sinema, Mandate International",United States of America,English,"florida, new york city, california, new jersey, casino, drag queen, married couple, sarcasm, male friendship, grandfather, malibu, stag night, las vegas, older man younger woman relationship, divorced, widower, brooklyn, new york city, group of friends, childhood friends, military veteran, elderly, bachelor party",134.40245
Adipurush,5.491,53,2023-06-16,179.0,63000000.0,hi,आदिपुरुष,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",349.287,Celebrating Victory Of Good Over Evil,"Action, Adventure, Drama, Fantasy","Retrophiles, T-Series, AA Films, UV Creations, People Media Factory",India,Hindi,"ramayana, based on myths, legends or folklore, cgi-live action hybrid",43.0
Blood Simple,7.256,1244,1984-09-07,97.0,1500000.0,en,Blood Simple,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",16.161,Breaking up is hard to do.,"Crime, Drama, Thriller","River Road Productions, Foxton Entertainment, Circle Films",United States of America,English,"husband wife relationship, boss, texas, lover, employee, money, killer, double cross, extramarital affair, shallow grave, private detective, hired killer, neo-noir",4.229114
Batman: The Killing Joke,6.597,1677,2016-07-24,77.0,3500000.0,en,Batman: The Killing Joke,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",19.782,The madness begins.,"Action, Animation, Crime, Drama","Warner Bros. Animation, DC Comics, DC Entertainment",United States of America,English,"joker, psychopath, superhero, cartoon, carnival, comic book, descent into madness, torture, cruelty, justice, based on graphic novel, super power, madness, adult animation",3.775
Dukhtar,6.732,28,2014-09-18,93.0,46000.0,ur,دختر,"In the mountains of Pakistan, a mother and her ten-year-old daughter flee their home on the eve of the girl's marriage to a tribal leader. A deadly hunt for them begins.",3.124,A mother's extraordinary journey begins in the heart of Pakistan.,"Drama, Thriller","Zambeel Films, The Crew Films",Pakistan,Urdu,"woman director, forced marriage",0.12
Videodrome,7.296,1939,1983-02-04,88.0,5952000.0,en,Videodrome,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought.",18.446,First it controls your mind. Then it destroys your body.,"Horror, Mystery, Science Fiction","Universal Pictures, Famous Players, Guardian Trust Company, Filmplan International II",Canada,English,"suicide, virtual reality, radio presenter, black market, insanity, paranoia, dystopia, toronto, canada, hallucination, surrealism, sadomasochism, cyberpunk, brainwashing, pittsburgh, pennsylvania, snuff film, pirate broadcast, depressed, ridiculous",2.120439
Desperately Seeking Susan,6.04,387,1985-03-29,104.0,5000000.0,en,Desperately Seeking Susan,"Roberta is a bored suburban housewife who is fascinated with a woman, Susan, she only knows about by reading messages to and from her in the personals section of the newspaper. This fascination reaches a peak when an ad with the headline ""Desperately Seeking Susan"" proposes a rendezvous. Roberta goes too, and in a series of events involving amnesia and mistaken identity, steps into Susan's life.",10.996,Roberta is desperate to be Susan. Susan is wanted by the mob. The mob finds Roberta instead...,"Drama, Comedy, Crime",Orion Pictures,United States of America,English,"amnesia, lonely hearts ad, woman director",27.4
The House Across the Bay,5.292,12,1940-03-01,88.0,713965.0,en,The House Across the Bay,"Nightclub owner Steve Larwitt sees his empire of investments collapse as he faces tax evasion charges and attacks by rivals. Believing Steve will be safer in prison for one year, his wife, Brenda, testifies against him on advice from his lawyer, Slant Kolma, who is in love with her. After Steve receives 10 years in Alcatraz, Brenda moves to be near him and avoids advances of airplane builder Tim Nolan, who knows nothing about her past.",2.055,THREE MEN IN LOVE WITH THE SAME WOMAN! EACH DETERMINED TO GET HER!,Drama,"Walter Wanger Productions, United Artists",United States of America,English,"husband wife relationship, gangster",0.684374
Mortal Thoughts,5.606,161,1991-04-19,104.0,8000000.0,en,Mortal Thoughts,"A loathsome man ends up dead, but it's not clear who's to blame. If ever a person got what he deserved, it's James Urbanksi, an abusive drunk who steals from his wife, Joyce, and promises her close friend Cynthia Kellogg that she'll be the next target of his rage. At a group outing, James bleeds to death after someone cuts his throat. But because he's such a terrible human being, police aren't sure which of his acquaintances decided to kill him.",9.562,Murder is a secret that should never be shared.,"Mystery, Thriller, Drama","Columbia Pictures, New Visions Pictures, Polar Entertainment Corporation, Rufglen Films",United States of America,English,"new jersey, murder, attempted rape, physical abuse, police interrogation, told in flashback, spousal abuse, poisoned drink, zdrada",18.8
The Rookie,6.752,401,2002-03-25,127.0,20000000.0,en,The Rookie,"Jim Morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. Now a married-with-children high-school chemistry teacher and baseball coach in Texas, Jim's team makes a deal with him: if they win the district championship, Jim will try out with a major-league organization. The bet proves incentive enough for the team, and they go from worst to first, making it to state for the first time in the history of the school. Jim, forced to live up to his end of the deal, is nearly laughed off the try-out field--until he gets onto the mound, where he confounds the scouts (and himself) by clocking successive 98 mph fastballs, good enough for a minor-league contract with the Tampa Bay Devil Rays. Jim's still got a lot of pitches to throw before he makes it to The Show, but with his big-league dreams revived, there's no telling where he could go.",15.274,Sometimes dreams come back to life.,"Drama, Family","Walt Disney Pictures, Gran Via Productions, 98 MPH Productions",United States of America,English,"sports, parent child relationship, baseball, life's dream, growing up",75.597042
The Muppet Movie,7.104,526,1979-06-22,97.0,8000000.0,en,The Muppet Movie,A Hollywood agent persuades Kermit the Frog to pursue a career in Hollywood. On his way there he meets his future muppet crew while being chased by the desperate owner of a frog-leg restaurant!,17.839,More entertaining than humanly possible,"Comedy, Adventure, Music, Family","ITC Entertainment, The Jim Henson Company",United States of America,"English, French","chicken, musical, puppet, fame, puppetry, hollywood, gonzo, fozzie bear, floyd, dr teeth, miss piggy, studebaker, movie star, aftercreditsstinger, kermit the frog",65.2
The Girl on the Train,6.434,5427,2016-10-05,112.0,45000000.0,en,The Girl on the Train,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.",15.235,What you see can hurt you.,"Thriller, Mystery, Drama, Crime","Reliance Entertainment, DreamWorks Pictures, Marc Platt Productions, Amblin Partners","India, United States of America","Spanish, English","infidelity, new york city, amnesia, based on novel or book, obsession, homicide, blackout, alcoholism, flashback, confusion, memory loss, domestic abuse, disappearance, female protagonist, psychological thriller, train, divorcee, missing person, police investigation, ex-husband ex-wife relationship, unreliable narrator, voyeurism, abuse, alcoholics anonymous",173.185859
In Like Flint,6.1,70,1967-03-15,114.0,3775000.0,en,In Like Flint,"Flint is again called out of retirement when his old boss finds that he seems to have missed 3 Minutes while golfing with the President. Flint finds that the President has been replaced by an actor (Flint's line [with a wistful look] is ""An Actor as President?"") Flint finds that a group of women have banded together to take over the world through subliminal brainwashing in beauty salons they own.",7.93,FLINT'S BACK In Action... In Danger... In the Virgin Islands... Where the Bad Guys... Are Girls!,"Action, Adventure, Comedy",20th Century Fox,United States of America,"Russian, Italian","spacecraft, sexuality, rocket, bikini, listening device, derek flint, super spy",11.0
Virginia City,5.9,24,1940-03-23,121.0,1179000.0,en,Virginia City,"Union officer Kerry Bradford escapes from a Confederate prison and races to intercept $5 million in gold destined for Confederate coffers. A Confederate sympathizer and a Mexican bandit, each with their own stake in the loot, stand in his way.",2.477,"Go West!...to Virginia City...for excitement, for adventure, for primitive romance!!!","Action, Drama, Romance, Western",Warner Bros. Pictures,United States of America,English,"prison, escape, stagecoach",2.372567
Once Bitten,5.801,259,1985-11-15,94.0,3200000.0,en,Once Bitten,"Mark wants to lose his virginity, but his girlfriend wants to wait. Unfortunately for both of them, a 400-year-old vampire Countess needs to turn a virgin into a vampire before Halloween in order to preserve her own youthful appearance, and when she finds Mark, she turns his life upside-down.",10.509,A one-night stand with eternal complications!,"Comedy, Horror, Romance",Night Light Films,United States of America,English,vampire,10.0
Ben-Hur,5.719,1573,2016-08-17,125.0,100000000.0,en,Ben-Hur,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,22.417,First to finish. Last to die.,"Action, History, Adventure, Drama","Metro-Goldwyn-Mayer, Paramount, LightWorkers Media, Sean Daniel Company",United States of America,English,"based on novel or book, christianity, chariot race, ancient rome, remake, betrayal, 1st century, jesus christ, vengeance",94.061311
The Man Who Knew Too Much,7.468,1235,1956-05-16,120.0,1200000.0,en,The Man Who Knew Too Much,"A couple vacationing in Morocco with their young son accidentally stumble upon an assassination plot. When the child is kidnapped to ensure their silence, they have to take matters into their own hands to save him.",13.636,A little knowledge can be a deadly thing!,"Thriller, Mystery",Paramount,United States of America,"Arabic, English, French","london, england, assassination, espionage, spy, scotland yard, bus, paranoia, morocco, remake, conspiracy, whodunit, british spy, american, political intrigue , physician, frenchman, assassination attempt, cymbals, assassination plot",11.3
Bride Flight,7.0,32,2008-10-15,130.0,6400000.0,nl,Bride Flight,"A romantic drama that charts the lives of three women from different backgrounds, forever changed when they emigrate to New Zealand as war brides.",3.289,A forbidden love. An impossible choice. A secret past.,Drama,Samsa Film,"Netherlands, Luxembourg","English, Dutch","baby, airplane, pregnancy, emigration, adoption, vineyard, marriage, christchurch, based on true story, hospital, birth, air race, 1950s",2.556911
Captivity,4.852,389,2007-03-09,84.0,17000000.0,en,Captivity,"The sought-after images of top model Jennifer adorn magazine covers and billboards worldwide. When alone at a charity event, she is abducted and incarcerated in a cell with another prisoner. When their captor subjects the two to torture, they commit to escaping the chamber of horrors before they're killed.",13.502,When You Think The Worst Has Happened... Think Worse,"Crime, Horror, Thriller","Captivity Productions, Foresight Unlimited, RAMCO","Russia, United States of America",English,"escape, kidnapping, sadistic, serial killer, torture, model, held captive, drugged, capture, sadistic torture",10.9212
Titane,6.418,1193,2021-07-14,108.0,6600000.0,fr,Titane,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",64.823,,"Drama, Thriller, Horror","Kazak Productions, ARTE France Cinéma, Frakas Productions, VOO, BeTV","Belgium, France",French,"pregnancy, trauma, head wound, car crash, serial killer, car accident, woman director, firefighter, masculinity, abortion, missing son, female serial killer, woman disguised as man, immaculate conception, objectum sexuality, body horror",5.115725
Judas and the Black Messiah,7.359,1344,2021-02-12,126.0,26000000.0,en,Judas and the Black Messiah,Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.,17.74,You can kill a revolutionary but you can't kill the revolution.,"Drama, History","MACRO, Bron Studios, Participant, Proximity Media, Warner Bros. Pictures","Canada, United States of America",English,"chicago, illinois, assassination, black panther party, based on true story, betrayal, betrayal by friend, 1960s, african american history, rainbow coalition",6.416063
Pharaoh,6.78,66,1966-03-11,175.0,10000000.0,pl,Faraon,"Young Pharaoh Ramses XIII clashes with Egypt's clergy over influence on the affairs of the state and its coffers. inexperienced, but quite ambitious pharaoh is putting up a fight against a powerful clan of priests usurping rule over the country.",7.47,Out of Ancient Egypt - The Real... Dramatic  Struggle of Love And Power - 5000 Years B.C,"History, Drama","Zespół Filmowy ""Kadr"", WFF Lodz",Poland,Polish,"insurrection, pharaoh",10.0
Assassin's Creed,5.419,7328,2016-12-21,116.0,125000000.0,en,Assassin's Creed,"Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day.",26.133,Your destiny is in your blood.,"Action, Adventure, Science Fiction","New Regency Pictures, The Kennedy/Marshall Company, Ubisoft Film & Television, DMC Film","France, United Kingdom, United States of America","English, Spanish, Portuguese","assassin, spain, assassination, chase, secret society, brotherhood, parkour, conspiracy, religion, memory, based on video game, 15th century, corporate conspiracy, genetic memory",240.697856
Battle of the Sexes,6.777,1736,2017-09-22,121.0,25000000.0,en,Battle of the Sexes,The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,13.538,He made a bet. She made history.,"Comedy, Drama, History","Fox Searchlight Pictures, Decibel Films, Cloud Eight Films, Ingenious Media","United Kingdom, United States of America",English,"sports, tennis, 1970s, tennis player, biography, based on true story, femme fatale, battle of the sexes, female athlete, determination, women's rights, chauvinisim, tennis match, exhibition match",12.638526
